qc_id,id,name,date,time,lon,lat,altitude,north,azimuth,camera mak,camera mod,title,comment,path,relpath,timestamp,icon_url
"0",8d3ac8ac-a092-4620-bb35-64491baf4d5d,TimePhoto_20200512_081508.jpg,2020/05/12,08:15:08.000,-54.610625,-16.4733088888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_081508.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_081508.jpg,2020/05/12 08:15:08.000,./0.png
"1",dbf2a297-386c-4747-b7e6-5e958363699c,TimePhoto_20200512_082411.jpg,2020/05/12,08:24:11.000,-54.5852394444444,-16.4723394444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_082411.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_082411.jpg,2020/05/12 08:24:11.000,./0.png
"2",23980a37-f770-45e0-a39a-61528c3687a5,TimePhoto_20200512_082846.jpg,2020/05/12,08:28:46.000,-54.58501,-16.479465,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_082846.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_082846.jpg,2020/05/12 08:28:46.000,./0.png
"3",ee914527-8cfb-48b5-a761-42dac1db4ef8,TimePhoto_20200512_083255.jpg,2020/05/12,08:32:55.000,-54.5862422222222,-16.4798663888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_083255.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_083255.jpg,2020/05/12 08:32:55.000,./0.png
"4",ecc84f45-edb2-4fc7-be38-0e565c858f8b,TimePhoto_20200512_083808.jpg,2020/05/12,08:38:08.000,-54.590525,-16.4843408333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_083808.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_083808.jpg,2020/05/12 08:38:08.000,./0.png
"5",2c262b6c-cbde-4604-ae0f-bc047e13111b,TimePhoto_20200512_084408.jpg,2020/05/12,08:44:08.000,-54.5914525,-16.4858575,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_084408.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_084408.jpg,2020/05/12 08:44:08.000,./0.png
"6",b95cfccc-6d41-4042-b1b7-1a70d0fc0579,TimePhoto_20200512_085925.jpg,2020/05/12,08:59:25.000,-54.5939358333333,-16.4673969444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_085925.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_085925.jpg,2020/05/12 08:59:25.000,./0.png
"7",3380dbb1-144d-43cc-a2c9-6f792ffd665b,TimePhoto_20200512_090419.jpg,2020/05/12,09:04:19.000,-54.5970763888889,-16.4611338888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_090419.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_090419.jpg,2020/05/12 09:04:19.000,./0.png
"8",2b8323dd-8f17-4605-99a2-d6f8dba44548,TimePhoto_20200512_091448.jpg,2020/05/12,09:14:48.000,-54.5977102777778,-16.4609416666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_091448.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_091448.jpg,2020/05/12 09:14:48.000,./0.png
"9",98b4efe8-e906-44dd-94df-5ef3033789fd,TimePhoto_20200512_091501.jpg,2020/05/12,09:15:01.000,-54.5976752777778,-16.4608669444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_091501.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_091501.jpg,2020/05/12 09:15:01.000,./0.png
"10",6421cc55-a241-4fe5-9d6b-f001c6e954cb,TimePhoto_20200512_092730.jpg,2020/05/12,09:27:30.000,-54.5932852777778,-16.4646213888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_092730.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_092730.jpg,2020/05/12 09:27:30.000,./0.png
"11",7ae1580b-e005-49ad-bed0-8d5c2592670e,TimePhoto_20200512_093840.jpg,2020/05/12,09:38:40.000,-54.6071522222222,-16.4521741666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_093840.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_093840.jpg,2020/05/12 09:38:40.000,./0.png
"12",343580f4-a6f1-43dd-9fc2-efb91a5692e5,TimePhoto_20200512_094726.jpg,2020/05/12,09:47:26.000,-54.6067491666667,-16.4514094444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_094726.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_094726.jpg,2020/05/12 09:47:26.000,./0.png
"13",23259117-c7db-4d78-9226-0d3f5fbe94b7,TimePhoto_20200512_095259.jpg,2020/05/12,09:52:59.000,-54.6043622222222,-16.4570358333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_095259.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_095259.jpg,2020/05/12 09:52:59.000,./0.png
"14",28965cb2-a10a-401c-a52c-21d748463d95,TimePhoto_20200512_095922.jpg,2020/05/12,09:59:22.000,-54.6068613888889,-16.4615355555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_095922.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_095922.jpg,2020/05/12 09:59:22.000,./0.png
"15",abf3db63-607b-443a-a570-ab76dcabbdc4,TimePhoto_20200512_101120.jpg,2020/05/12,10:11:20.000,-54.6147836111111,-16.4369163888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_101120.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_101120.jpg,2020/05/12 10:11:20.000,./0.png
"16",9b2a53bd-a89a-44b7-a1e5-d7aaee798467,TimePhoto_20200512_102037.jpg,2020/05/12,10:20:37.000,-54.6319155555556,-16.4329452777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_102037.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_102037.jpg,2020/05/12 10:20:37.000,./0.png
"17",dbcc8295-989a-4dd3-9a58-0ba363394b6c,TimePhoto_20200512_103719.jpg,2020/05/12,10:37:19.000,-54.6354541666667,-16.4544275,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_103719.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_103719.jpg,2020/05/12 10:37:19.000,./0.png
"18",9bfb7127-ba69-4cfa-8485-c0780a2c60ae,TimePhoto_20200512_104518.jpg,2020/05/12,10:45:18.000,-54.6489086111111,-16.4518002777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/26) 12 05 20 - 15º Medição\TimePhoto_20200512_104518.jpg,./26) 12 05 20 - 15º Medição/TimePhoto_20200512_104518.jpg,2020/05/12 10:45:18.000,./0.png
