qc_id,id,name,date,time,lon,lat,altitude,north,azimuth,camera mak,camera mod,title,comment,path,relpath,timestamp,icon_url
"0",90a2d26f-d7c8-4983-bfdb-bf8f4daafe40,TimePhoto_20200601_081957.jpg,2020/06/01,08:19:57.000,-54.6415419444444,-16.4576572222222,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_081957.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_081957.jpg,2020/06/01 08:19:57.000,./0.png
"1",7c6c7bac-511c-4b73-8548-609a7225e265,TimePhoto_20200601_082715.jpg,2020/06/01,08:27:15.000,-54.6441647222222,-16.4521436111111,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_082715.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_082715.jpg,2020/06/01 08:27:15.000,./0.png
"2",1f085528-bf2f-4fba-8cdc-a8761c45b96b,TimePhoto_20200601_082729.jpg,2020/06/01,08:27:29.000,-54.6439802777778,-16.4520169444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_082729.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_082729.jpg,2020/06/01 08:27:29.000,./0.png
"3",42f6c40d-1fba-44b3-b447-3fec3c372972,TimePhoto_20200601_083553.jpg,2020/06/01,08:35:53.000,-54.6465091666667,-16.4369663888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_083553.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_083553.jpg,2020/06/01 08:35:53.000,./0.png
"4",5e6b82ad-1708-4dd0-a7ee-91d7a13b8fe1,TimePhoto_20200601_084155.jpg,2020/06/01,08:41:55.000,-54.6439402777778,-16.4430575,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_084155.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_084155.jpg,2020/06/01 08:41:55.000,./0.png
"5",2c4584c9-de16-43f4-9494-8294fb3bd576,TimePhoto_20200601_084844.jpg,2020/06/01,08:48:44.000,-54.6434561111111,-16.4437152777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_084844.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_084844.jpg,2020/06/01 08:48:44.000,./0.png
"6",a7a1d812-a336-47b0-8f6f-f13d2f15ad24,TimePhoto_20200601_085348.jpg,2020/06/01,08:53:48.000,-54.6487736111111,-16.4442905555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_085348.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_085348.jpg,2020/06/01 08:53:48.000,./0.png
"7",e4d0192d-3101-44cc-9852-3ea1eb3f7518,TimePhoto_20200601_090524.jpg,2020/06/01,09:05:24.000,-54.6380172222222,-16.4466438888889,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_090524.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_090524.jpg,2020/06/01 09:05:24.000,./0.png
"8",369f2e39-2031-4f18-993a-a17467d9ec51,TimePhoto_20200601_091216.jpg,2020/06/01,09:12:16.000,-54.640575,-16.442495,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_091216.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_091216.jpg,2020/06/01 09:12:16.000,./0.png
"9",2c5968ac-0b86-4e6f-bfb7-7b02079a1f71,TimePhoto_20200601_092146.jpg,2020/06/01,09:21:46.000,-54.6434158333333,-16.4359133333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_092146.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_092146.jpg,2020/06/01 09:21:46.000,./0.png
"10",db85e911-a29b-4a38-9e43-e7daf25c0d25,TimePhoto_20200601_093107.jpg,2020/06/01,09:31:07.000,-54.6554711111111,-16.4277933333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_093107.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_093107.jpg,2020/06/01 09:31:07.000,./0.png
"11",43b3755a-541d-4915-9d8f-3b91666578af,TimePhoto_20200601_093622.jpg,2020/06/01,09:36:22.000,-54.6563197222222,-16.4306433333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_093622.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_093622.jpg,2020/06/01 09:36:22.000,./0.png
"12",65cd4f93-2f68-4280-9ad4-a0af1a1f9455,TimePhoto_20200601_094334.jpg,2020/06/01,09:43:34.000,-54.6513463888889,-16.4380702777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/32) 01 06 20 - 15º Medição\TimePhoto_20200601_094334.jpg,./32) 01 06 20 - 15º Medição/TimePhoto_20200601_094334.jpg,2020/06/01 09:43:34.000,./0.png
