qc_id,id,name,date,time,lon,lat,altitude,north,azimuth,camera mak,camera mod,title,comment,path,relpath,timestamp,icon_url
"0",4e3dc806-d006-4394-bf08-ea713c4c1152,TimePhoto_20200615_083214.jpg,2020/06/15,08:32:14.000,-54.6441266666667,-16.4495980555556,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_083214.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_083214.jpg,2020/06/15 08:32:14.000,./0.png
"1",97ac1a60-4cbe-4db9-850a-0b8f428616c9,TimePhoto_20200615_083843.jpg,2020/06/15,08:38:43.000,-54.6446972222222,-16.4501697222222,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_083843.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_083843.jpg,2020/06/15 08:38:43.000,./0.png
"2",ebf7280c-35e1-4f6f-a4f3-18e09e847119,TimePhoto_20200615_084623.jpg,2020/06/15,08:46:22.000,-54.6411130555556,-16.4549363888889,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_084623.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_084623.jpg,2020/06/15 08:46:22.000,./0.png
"3",1e7a296c-87a7-4fdc-94de-2a0bc1d05d81,TimePhoto_20200615_084749.jpg,2020/06/15,08:47:49.000,-54.6411052777778,-16.4549041666667,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_084749.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_084749.jpg,2020/06/15 08:47:49.000,./0.png
"4",21e3b9ec-63f2-4671-88b7-f3f5cc065dd5,TimePhoto_20200615_090115.jpg,2020/06/15,09:01:15.000,-54.6401316666667,-16.4313822222222,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_090115.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_090115.jpg,2020/06/15 09:01:15.000,./0.png
"5",32ebac78-a371-49b8-956a-0ffea5fc5c9b,TimePhoto_20200615_090837.jpg,2020/06/15,09:08:37.000,-54.6337222222222,-16.4283583333333,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_090837.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_090837.jpg,2020/06/15 09:08:37.000,./0.png
"6",d5723aa0-be4a-4b07-a4ea-ad02ccb94b8e,TimePhoto_20200615_091148.jpg,2020/06/15,09:11:48.000,-54.6338908333333,-16.4282694444444,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_091148.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_091148.jpg,2020/06/15 09:11:48.000,./0.png
"7",ac249b62-5d36-4ea5-91e9-e1c7ecd7fd7a,TimePhoto_20200615_092136.jpg,2020/06/15,09:21:36.000,-54.6256786111111,-16.4391938888889,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_092136.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_092136.jpg,2020/06/15 09:21:36.000,./0.png
"8",50a06414-ed4d-4284-876c-5a4847b33def,TimePhoto_20200615_093229.jpg,2020/06/15,09:32:29.000,-54.621905,-16.4525144444444,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_093229.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_093229.jpg,2020/06/15 09:32:29.000,./0.png
"9",2b0c1dae-ea47-4723-96c3-65d59de9be34,TimePhoto_20200615_093538.jpg,2020/06/15,09:35:38.000,-54.6218991666667,-16.4521877777778,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_093538.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_093538.jpg,2020/06/15 09:35:38.000,./0.png
"10",2e2da099-4797-414f-826d-983159a508a1,TimePhoto_20200615_093543.jpg,2020/06/15,09:35:43.000,-54.6218919444444,-16.4521811111111,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_093543.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_093543.jpg,2020/06/15 09:35:43.000,./0.png
"11",fa009ebe-b71f-4064-bd19-72545dbc50b9,TimePhoto_20200615_094059.jpg,2020/06/15,09:40:59.000,-54.6223855555556,-16.4538511111111,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_094059.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_094059.jpg,2020/06/15 09:40:59.000,./0.png
"12",605f673e-c3bd-405f-958e-c156f4523ab9,TimePhoto_20200615_094851.jpg,2020/06/15,09:48:51.000,-54.6186933333333,-16.4453077777778,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_094851.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_094851.jpg,2020/06/15 09:48:51.000,./0.png
"13",d910609b-9a6d-4601-937c-1e4aecd81750,TimePhoto_20200615_095441.jpg,2020/06/15,09:54:41.000,-54.6195516666667,-16.4483386111111,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_095441.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_095441.jpg,2020/06/15 09:54:41.000,./0.png
"14",dd856479-46f8-4aab-ae6f-9493481116d6,TimePhoto_20200615_100726.jpg,2020/06/15,10:07:26.000,-54.6144794444444,-16.4504961111111,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_100726.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_100726.jpg,2020/06/15 10:07:26.000,./0.png
"15",6d8cbaef-33f3-4696-b890-f6e3c935e81f,TimePhoto_20200615_101004.jpg,2020/06/15,10:10:04.000,-54.6140647222222,-16.4511125,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_101004.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_101004.jpg,2020/06/15 10:10:04.000,./0.png
"16",d56f6396-e0e4-4af3-94ae-b5633d653c7e,TimePhoto_20200615_101614.jpg,2020/06/15,10:16:14.000,-54.6177638888889,-16.4492891666667,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_101614.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_101614.jpg,2020/06/15 10:16:14.000,./0.png
"17",bade5014-76b6-43af-a629-8d42ac9917ae,TimePhoto_20200615_102449.jpg,2020/06/15,10:24:49.000,-54.6245572222222,-16.4611869444444,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_102449.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_102449.jpg,2020/06/15 10:24:49.000,./0.png
"18",64bac9d0-560c-43b2-b2de-26ded061871d,TimePhoto_20200615_103306.jpg,2020/06/15,10:33:06.000,-54.6327005555556,-16.4620066666667,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_103306.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_103306.jpg,2020/06/15 10:33:06.000,./0.png
"19",5059309c-fdcc-406f-9db8-86def4c72172,TimePhoto_20200615_104044.jpg,2020/06/15,10:40:44.000,-54.6359044444444,-16.455885,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_104044.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_104044.jpg,2020/06/15 10:40:44.000,./0.png
"20",01a24e05-2d02-4737-aa42-3cb8f91352ad,TimePhoto_20200615_143421.jpg,2020/06/15,14:34:21.000,-54.6251291666667,-16.4775358333333,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_143421.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_143421.jpg,2020/06/15 14:34:21.000,./0.png
"21",51a80d51-9351-4075-82d6-5d76bb23e204,TimePhoto_20200615_144703.jpg,2020/06/15,14:47:03.000,-54.6146563888889,-16.4709136111111,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_144703.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_144703.jpg,2020/06/15 14:47:03.000,./0.png
"22",6266a79e-085f-4b79-9b7e-35e90b9e899f,TimePhoto_20200615_145338.jpg,2020/06/15,14:53:38.000,-54.6154922222222,-16.4698661111111,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_145338.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_145338.jpg,2020/06/15 14:53:38.000,./0.png
"23",8b8a7c92-c2b1-4cb3-bb18-16aa89bda194,TimePhoto_20200615_150021.jpg,2020/06/15,15:00:20.000,-54.6072294444444,-16.4710719444444,,,,samsung,SM-G9600,,,D:/INGRID/Ingrid - Fotos/35) 15 06 20 - 15º Medição\TimePhoto_20200615_150021.jpg,./35) 15 06 20 - 15º Medição/TimePhoto_20200615_150021.jpg,2020/06/15 15:00:20.000,./0.png
