qc_id,id,name,date,time,lon,lat,altitude,north,azimuth,camera mak,camera mod,title,comment,path,relpath,timestamp,icon_url
"0",a7d33ace-ef20-4129-9456-2bd28438ea55,TimePhoto_20200520_082330.jpg,2020/05/20,08:23:30.000,-54.6468652777778,-16.4766994444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_082330.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_082330.jpg,2020/05/20 08:23:30.000,./0.png
"1",cc42d020-4d8f-4d4e-9298-e30281259159,TimePhoto_20200520_082724.jpg,2020/05/20,08:27:24.000,-54.6439472222222,-16.4786811111111,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_082724.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_082724.jpg,2020/05/20 08:27:24.000,./0.png
"2",0d8fbb02-48e0-4aae-8118-6c57875e0a1a,TimePhoto_20200520_140151.jpg,2020/05/20,14:01:51.000,-54.6474047222222,-16.4702380555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_140151.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_140151.jpg,2020/05/20 14:01:51.000,./0.png
"3",e9a39135-211a-4ab2-bcc7-e61c8c18ce16,TimePhoto_20200520_140552.jpg,2020/05/20,14:05:52.000,-54.6463819444444,-16.4696694444444,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_140552.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_140552.jpg,2020/05/20 14:05:52.000,./0.png
"4",402337de-028f-4223-949b-2b9838c3e40d,TimePhoto_20200520_141552.jpg,2020/05/20,14:15:52.000,-54.6269133333333,-16.4599830555556,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_141552.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_141552.jpg,2020/05/20 14:15:52.000,./0.png
"5",f7a48f81-64e1-4c9a-8335-155d49eba801,TimePhoto_20200520_142359.jpg,2020/05/20,14:23:59.000,-54.6288333333333,-16.4492602777778,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_142359.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_142359.jpg,2020/05/20 14:23:59.000,./0.png
"6",cedf7e9f-6b6a-43cd-830c-8d174f77b7f4,TimePhoto_20200520_142730.jpg,2020/05/20,14:27:30.000,-54.6275705555556,-16.4520375,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_142730.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_142730.jpg,2020/05/20 14:27:30.000,./0.png
"7",01afd43d-3848-44bc-87d0-25e9b1573c20,TimePhoto_20200520_143327.jpg,2020/05/20,14:33:27.000,-54.6237511111111,-16.4600666666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_143327.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_143327.jpg,2020/05/20 14:33:27.000,./0.png
"8",fde2896c-23d2-4b3d-bcf0-28f9872a3606,TimePhoto_20200520_144358.jpg,2020/05/20,14:43:58.000,-54.6087386111111,-16.4605583333333,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_144358.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_144358.jpg,2020/05/20 14:43:58.000,./0.png
"9",6960e911-6105-4f3b-8137-8bfa61c21416,TimePhoto_20200520_145025.jpg,2020/05/20,14:50:25.000,-54.6091680555556,-16.4673941666667,,,,samsung,SM-G973F,,,D:/INGRID/Ingrid - Fotos/27) 20 05 20 - 15º Medição\TimePhoto_20200520_145025.jpg,./27) 20 05 20 - 15º Medição/TimePhoto_20200520_145025.jpg,2020/05/20 14:50:25.000,./0.png
